Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Farley, Emma Kristen","
BIMM 100 - Molecular Biology (A)
",SP23,315,"
219
","
95.9%
","
98.6%
","
5.65
","
B+ (3.49)
","
B (3.12)
"
"Wildonger, Jill Cathleen","
BIMM 100 - Molecular Biology (B)
",SP23,309,"
218
","
98.6%
","
99.5%
","
5.04
","
B+ (3.57)
","
B+ (3.40)
"
"Hao, Nan","
BIMM 100 - Molecular Biology (A)
",WI23,316,"
264
","
93.2%
","
93.5%
","
6.76
","
B (3.17)
","
B- (2.78)
"
"Akbari, Omar Sultan","
BIMM 100 - Molecular Biology (B)
",WI23,217,"
208
","
86.1%
","
84.6%
","
5.76
","
B (3.28)
","
B (3.18)
"
"Pasquinelli, Amy","
BIMM 100 - Molecular Biology (A)
",FA22,228,"
151
","
86.1%
","
88.7%
","
6.09
","
B (3.28)
","
B- (2.76)
"
"Pruneda-Paz, Jose L.","
BIMM 100 - Molecular Biology (B)
",FA22,312,"
123
","
94.3%
","
95.9%
","
6.00
","
B+ (3.56)
","
B (3.22)
"
"Ulivieri, Martina","
BIMM 100 - Molecular Biology (A)
",S122,141,"
106
","
66.0%
","
55.7%
","
9.12
","
B (3.18)
","
B (3.26)
"
"Burg, Michael","
BIMM 100 - Molecular Biology (A)
",SP22,304,"
257
","
90.6%
","
90.2%
","
6.40
","
B (3.27)
","
B (3.04)
"
"Cooper, Andrew Michael","
BIMM 100 - Molecular Biology (B)
",SP22,200,"
185
","
96.2%
","
95.1%
","
5.52
","
B+ (3.44)
","
B+ (3.34)
"
"Akbari, Omar Sultan","
BIMM 100 - Molecular Biology (A)
",WI22,153,"
106
","
90.3%
","
88.3%
","
6.01
","
B (3.11)
","
B+ (3.35)
"
"Hao, Nan","
BIMM 100 - Molecular Biology (B)
",WI22,309,"
235
","
97.0%
","
96.1%
","
6.09
","
B+ (3.37)
","
B- (2.85)
"
"Pasquinelli, Amy","
BIMM 100 - Molecular Biology (A)
",FA21,339,"
287
","
85.0%
","
83.9%
","
6.74
","
B (3.28)
","
B- (2.99)
"
"Cook-Andersen, Heidi Leigh","
BIMM 100 - Molecular Biology (B)
",FA21,148,"
77
","
74.0%
","
84.4%
","
7.61
","
B (3.11)
","
B- (2.91)
"
"Mudla, Anusorn","
BIMM 100 - Molecular Biology (A)
",S221,102,"
99
","
94.9%
","
96.0%
","
8.52
","
B+ (3.37)
","
B (3.15)
"
"Miller, Steven W.","
BIMM 100 - Molecular Biology (A)
",S121,37,"
27
","
92.6%
","
92.6%
","
9.61
","
B- (2.96)
","
C+ (2.68)
"
"Pruneda-Paz, Jose L.","
BIMM 100 - Molecular Biology (A)
",SP21,236,"
120
","
92.1%
","
93.9%
","
6.24
","
B+ (3.49)
","
B (3.09)
"
"Farley, Emma Kristen","
BIMM 100 - Molecular Biology (B)
",SP21,261,"
218
","
94.5%
","
95.4%
","
6.63
","
B+ (3.50)
","
B+ (3.51)
"
"Akbari, Omar Sultan","
BIMM 100 - Molecular Biology (A)
",WI21,232,"
209
","
86.1%
","
87.9%
","
6.53
","
B (3.27)
","
B (3.28)
"
"Hao, Nan","
BIMM 100 - Molecular Biology (B)
",WI21,324,"
273
","
98.2%
","
97.4%
","
6.65
","
B+ (3.54)
","
B (3.16)
"
"Cook-Andersen, Heidi Leigh","
BIMM 100 - Molecular Biology (A)
",FA20,261,"
203
","
85.6%
","
83.2%
","
7.41
","
B+ (3.38)
","
B+ (3.38)
"
"Pasquinelli, Amy","
BIMM 100 - Molecular Biology (B)
",FA20,215,"
195
","
92.7%
","
92.2%
","
7.38
","
B (3.28)
","
B (3.29)
"
"Mudla, Anusorn","
BIMM 100 - Molecular Biology (A)
",S220,128,"
107
","
89.7%
","
86.9%
","
9.29
","
B (3.12)
","
B (3.18)
"
"Miller, Steven W.","
BIMM 100 - Molecular Biology (A)
",S120,98,"
50
","
74.0%
","
86.0%
","
10.42
","
B (3.00)
","
B- (2.82)
"
"Pruneda-Paz, Jose L.","
BIMM 100 - Molecular Biology (A)
",SP20,242,"
131
","
90.7%
","
86.8%
","
6.69
","
B+ (3.48)
","
B+ (3.45)
"
"Burg, Michael","
BIMM 100 - Molecular Biology (B)
",SP20,315,"
288
","
94.4%
","
94.4%
","
6.27
","
B+ (3.59)
","
A- (3.70)
"
"Akbari, Omar Sultan","
BIMM 100 - Molecular Biology (A)
",WI20,206,"
190
","
88.9%
","
93.6%
","
6.00
","
B (3.25)
","
B+ (3.35)
"
"Lauberth, Shannon Marie","
BIMM 100 - Molecular Biology (B)
",WI20,216,"
118
","
89.6%
","
77.0%
","
6.62
","
B+ (3.40)
","
B+ (3.45)
"
"Burg, Michael","
BIMM 100 - Molecular Biology (A)
",FA19,280,"
254
","
94.4%
","
94.8%
","
5.92
","
B+ (3.41)
","
B (3.06)
"
"Pasquinelli, Amy","
BIMM 100 - Molecular Biology (B)
",FA19,161,"
127
","
87.3%
","
92.1%
","
6.24
","
B (3.15)
","
C+ (2.38)
"
"Cook-Andersen, Heidi Leigh","
BIMM 100 - Molecular Biology (C)
",FA19,43,"
37
","
78.4%
","
66.7%
","
6.07
","
B (3.14)
","
B- (2.72)
"
"Mudla, Anusorn","
BIMM 100 - Molecular Biology (A)
",S219,117,"
97
","
94.8%
","
94.8%
","
8.52
","
B+ (3.46)
","
B- (2.98)
"
"Miller, Steven W.","
BIMM 100 - Molecular Biology (A)
",S119,60,"
30
","
93.3%
","
96.7%
","
7.63
","
B- (2.97)
","
C+ (2.57)
"
"Pruneda-Paz, Jose L.","
BIMM 100 - Molecular Biology (A)
",SP19,318,"
144
","
87.2%
","
90.1%
","
6.14
","
B+ (3.30)
","
B- (2.88)
"
"Farley, Emma Kristen","
BIMM 100 - Molecular Biology (B)
",SP19,48,"
40
","
97.5%
","
95.0%
","
5.85
","
B+ (3.31)
","
B- (2.79)
"
"Burg, Michael","
BIMM 100 - Molecular Biology (C)
",SP19,384,"
345
","
96.2%
","
96.2%
","
5.72
","
B+ (3.39)
","
B (3.12)
"
